Dataset,Recall,Precision,F1-Score,Accuracy,AUC,KS,Average Precision,Prevalência
Treino,0.678728648155799,0.6184943333030417,0.6472130523970602,0.6284676023291415,0.6863884017274616,0.26252997589761173,0.6884080704427517,0.5021174013190838
Validação,0.6671035386631717,0.6000205012557019,0.6317862924986508,0.6095453374917738,0.6577324312941825,0.22623886287524653,0.6595382061708748,0.5021316775873416
